indice|nombre|link
132|Tubo_Sanitario_Blanco_110mm|https://www.construplaza.cl/ferreteria/gasfiteria/pvc-y-accesorios/p-v-c-tubo-sanitario-blanco-110-mm-tira.html
133|Goma_#1_Llave_3_8_Roja_Pequeña|x
134|Goma_#10_Dona_Negra_Grande|x
135|Goma_#11_Negra_Maceta|x
136|Goma_#12_Llave_3_4|x
137|Goma_#13_Estopa|x
138|Goma_#14_Ajuste_Especiel|x
139|Goma_#15_Ajuste_3_4|x
140|Goma_#2_Roja_Grande|x
141|Goma_#3_Anillo_Color_Piel_Pequeño|x
142|Goma_#4_Anillo_Negro_Pequeño|x
143|Goma_#5_Anillo_Color_Carne_Mediano|x
144|Goma_#6_Anillo_Color_Piel_Grande|x
145|Goma_#7_Negra_Gorro|x
146|Goma_#8_Anillo_Negro_Grande|x
147|Goma_#9_Dona_Negra_Pequeña|x
148|Goma_Caupo._C_Pernos|https://www.hidrocentro.cl/sanpedro/producto/goma-esponja-c-pernos-caupolican/
149|Goma_Conica_Lavaplatos_Negra_Juego|https://listado.mercadolibre.cl/orrin-gomas-para-lavaplatos
150|Goma_Conica_Lavatorio|https://www.ferreteriasancarlos.cl/product/sello-de-goma-conica
151|Goma_Conica_Negra_2_1_2|http://www.socodima.cl/s/index.php?moduloFrontend=fn_prod_productos&flujo=producto&id=912
152|Goma_Lavaplato_Conica|https://articulo.mercadolibre.cl/MLC-977441873-goma-conica-para-sifon-lavaplato-112-10-undsferrepernos-_JM
153|Goma_Lavaplatos_Botella_Sifon|https://articulo.mercadolibre.cl/MLC-582440308-sifon-de-botella-metalico-lavaplatos-1-12-_JM
154|Goma_Lavaplatos_Plana|https://sodimac.falabella.com/sodimac-cl/product/110267094/Goma-plana-para-llave-1-2-4-unidades/110267106
155|Goma_Lavatorio_Plana|https://www.hidrocentro.cl/sanpedro/producto/goma-plana-11-2-p-sifon-hoffens-estandar/
156|Goma_Plana_1_3_4|https://www.grifesa.cl/producto/gomas-planas/
157|Goma_Plana_1_2|http://www.socodima.cl/s/index.php?moduloFrontend=fn_prod_productos&flujo=producto&id=991
158|Goma_Plana_3_4|https://www.ferreteriasandina.cl/goma-plana-3-4-quot.html
159|Goma_Plana_Negra_Blanca_2_1_2|https://www.grifesa.cl/producto/gomas-planas/
160|Goma_WC_Al_Muro|https://www.easy.cl/goma-union-para-descarga-al-muro-fanaloza-619268/p
161|Gorro_4_Galvanizado|https://www.toso.cl/materiales-de-construccion/tabiqueria-techumbre-y-aislacion/ventilacion/gorro-austral-galvanizado-4-0-35mm.html
162|Gorro_4.5_Galvanizado|https://sodimac.falabella.com/sodimac-cl/product/110250061/Gorro-para-tubo-acero-galvanizado-4,5-0,8mm/110250067
163|Gorro_5_Galvanizado|https://sodimac.falabella.com/sodimac-cl/product/110241160/Gorro-para-tubo-acero-galvanizado-5-12,7x12,7-cm/110241167
164|Gorro_chino|https://www.ekolmac.cl/sombrero-gorro-tradicional-bambu-chino
165|Grampa_1_2_Cuadrada|https://sodimac.falabella.com/sodimac-cl/product/110042475/Grampa-1,2x14-mm-metal-1000-unidades/110042498
166|Grampa_3_4_Cuadrada|https://www.gobantes.cl/grampa-aislada-3-4-ekoline.html
167|Grampa_5_8_Cuadrada|https://www.tiendatecnored.cl/abrazadera-de-5-8-para-postes-de-alta-tension.html
168|Anticorrosivo_Amanecer_1G_Blanco|https://pinturasamanecer.cl/index.php/producto/anticorrosivo/
169|Grasa_250grs|https://simple.ripley.cl/grasa-multiproposito-250-grs-mpm00012145352
170|Guante_Gris_Azul|https://fasit.cl/guante-multiflex-gris-palma-azul.html
171|Guante_Tela_Blanco|https://www.ekol.cl/guantes-blancos-formal-algodon-guardia-de-honor-ceremonial
172|Guante_Negro|https://www.atrios.cl/insumos-medicos-guante-examen-de-nitrilo-sin-polvo-color-negro
173|Alta_Temperatura_Rojo_Pomo|https://www.clubferretero.cl/product/silicona-acetica-tekbond-alta-temperatura-rojo-280-gr-pomo
174|Guante_Cabretilla|https://rac.cl/products/guante-cabritilla-natural-con-forro
175|Guante_Nitrilo_Verde|https://www.apro.cl/guante-nitrilo-flocado/p
176|Guante_Nitrilo_Negro|https://deltamed.cl/tienda/producto/guante-de-nitrilo-sin-polvo/
177|Guante_Tela_Negro|https://articulo.mercadolibre.cl/MLC-911512630-guantes-de-trabajo-con-dedos-completos-de-algodon-negro-12-_JM
178|Guardapolvo_De_MDF_2.44mts|https://sodimac.falabella.com/sodimac-cl/product/110289617/Guardapolvo-MDF-Premol-Chaflan-Cantena-14-x-70-x-2.44-mts/110289619
179|Guia_De_Porton_#4|x
180|Niple_Bronce_HE-HE_1_2|https://www.nibsa.com/niple_bronce_he-he_agua_1_2_/p
181|Abrazadera_De_Presion_2|https://biocartuning.cl/producto/abrazadera-2-54-62-alta-presion/
182|Hormigon_H20_25kg|https://www.prodalam.cl/productos/91514-UN/hormigon-tx-h20-en-saco-de-25kg
183|Inserto_magnetico|https://www.ferreteriasancarlos.cl/product/inserto-magnetico-1-4-x-60mm
184|Interperie|https://www.filmaffinity.com/es/film300469.html
185|Amarra_Metalica_260mm|https://www.gotex.cl/index.php/amarras-de-acero/amarras-de-acero-raychem/amarra-acero-304-autoblocante-banda-4-6-mm
186|Conmutador_9_24_Embutir|http://mec.cl/web/producto/interruptor-conmutador-9-24-250v-10a/
187|Interruptor_Nevada_Doble_Champane|https://www.presente.cl/product/interruptor-champagne-doble
188|Interruptor_Nevada_Doble_Dorado|https://sodimac.falabella.com/sodimac-cl/product/110274235/Interruptor-doble-%289-15%29-16-A-Dorado-Genesis/110274239
189|Interruptor_Nevada_Doble_Grafito|http://www.castilloltda.cl/secciones/nevada_embutida.html
190|Interruptor_Nevada_Simple_Champane|https://articulo.mercadolibre.cl/MLC-953597732-interruptor-luz-boton-pared-simple-champagne-certificado-_JM
191|Interruptor_Nevada_Triple_Champane|https://distritoled.cl/products/interruptor-triple-champagne-st
192|Interruptor_Nevada_Triple_Dorado|https://sodimac.falabella.com/sodimac-cl/product/110257685/Interruptor-triple-%289-32%29-16-A-Dorado/110257689
193|Amarra_Metalica_360mm|https://ndu.cl/productos/3891-amarra-cable-acero-inoxidable-ansi-316-360x45mm.html
194|Interruptor_Sobrepuesto_Doble|https://www.vitel.cl/interruptor-sobrepuesto-doble-modus-plus-armado-blanco-9-15/
195|Interruptor_Sobrepuesto_Triple|https://www.maderasdonjuan.cl/product/interruptor-triple-sobrepuesto-9-32/
196|Interruptor_Toscana_Doble_Blanco|https://bedon.mx/producto/linea-toscana-apagador-doble-sanelec-4457/
197|Interruptor_Toscana_Doble_Champane|https://www.presente.cl/product/interruptor-champagne-doble
198|Amarra_Metalica_520mm|https://www.gotex.cl/index.php/amarras-de-acero/amarras-de-acero-raychem/amarra-acero-304-autoblocante-banda-4-6-mm
199|Interruptor_Toscana_Triple_Grafito|https://electricakenet.com/products/apagador-triple-toscana-graphite
200|Interruptor+Enchufe_Sobrepuesto|https://www.guzman.cl/otros/9902-casquete-baquelita-aris-interruptor-9-12-enchufe-mec.html
201|Interrurtor_Nevada_Doble_Grafito|http://www.castilloltda.cl/secciones/nevada_embutida.html
202|Junquillo_1_4_Rodon_Mdf_15x15x2.4mts|https://adelek.cl/producto/junquillo-1-4-rodon-cerezo-oregon-mdf-unidad/
203|Junquillo_1_4_Rodonl__Mdf_19x19x2.4mts|https://adelek.cl/producto/junquillo-1-4-rodon-chocolate-mdf-unidad/
204|Kit_Anclaje_Monomando_Akfit_Taum|https://www.ferrelucastore.cl/product/kit-anclaje-griferia
205|Abrazadera_De_Presion_2_1_2|https://www.diplas.cl/collections/mangueras/products/abrazadera-presion-2
206|Kit_De_Fijacion_Monomando_1_Perno|https://tienda.hastor.cl/main/producto_filtrado/M1
207|Laca_En_Spray_Valkolor|https://www.ferrelucastore.cl/product/spray-sintetico-valkolor-laca-transparente
208|Bisagra_35mm_Semicurva|https://rey.cl/producto/bisagra-semicurva-35-mm/
209|Lengueta_5|https://lindaled.cl/producto/lengueta-5/
210|Lente_Econimica_Amarilla|https://www.youtube.com/watch?v=ugnTUaEsif8
211|Lente_Economica_Negra|https://www.3mchile.cl/3M/es_CL/p/d/v101200006/
